disks,raid,strip-size,read-policy,write-policy,io-policy,swap-size,disk-size,memory-size,num-cpus,scheduler,block-size,ext4-stride,ext4-stripe-width,ext4-journal-mode,ext4-barrier,ext4-atime,ext4-diratime,ext4-64-bit,ext4-dir-index,ext4-dir-nlink,ext4-extent,ext4-extra-isize,ext4-ext-attr,ext4-filetype,ext4-flex-bg,ext4-flex-bg-num-groups,ext4-huge-file,ext4-sparse-super2,ext4-mmp,ext4-resize-inode,ext4-sparse-super,ext4-uninit-bg,ext4-inode-size,ext4-inode-ratio,ext4-num-backup-sb,ext4-packed-meta-blocks,ext4-acl,ext4-inode-allocator,ext4-user-xattr,ext4-journal-commit-interval,ext4-journal-checksum-async-commit,ext4-delalloc,ext4-max-batch-time,ext4-min-batch-time,ext4-journal-ioprio,ext4-auto-da-alloc,ext4-discard,ext4-dioread-lock,ext4-i-version,kernel-vm-dirty-ratio,kernel-vm-dirty-background-ratio,kernel-vm-swappiness,kernel-read-ahead,kernel-fs-read-ahead,kernel-dev-ncq,ext4-bh,kernel-vm-vfs-cache-pressure,kernel-vm-dirty-expire-centisecs,kernel-vm-dirty-writeback-centisecs,kernel-vm-extfrag-threshold,kernel-vm-hugepages-treas-as-movable,kernel-vm-laptop-mode,kernel-vm-overcommit-memory,kernel-vm-overcommit-ratio,kernel-vm-percpu-pagelist-fraction,kernel-vm-zone-reclaim-mode
8,raid1,512,ahead,write-thru,direct,2,64,4096,3,deadline,1024,4,32,journal_data_ordered,no_barrier,relatime,diratime,no_64bit,dir_index,dir_nlink,no_extent,no_extra_isize,ext_attr,filetype,flex_bg,512,huge_file,sparse_super2,no_mmp,no_resize_inode,no_sparse_super,uninit_bg,512,1048576,2,packed_meta_blocks,noacl,unspecified,nouser_xattr,10,journal_async_commit,nodelalloc,1900,1000,2,auto_da_alloc,nodiscard,dioread_lock,i_version,7,7,3,8,128,32,bh,333,100000,2000,1000,1,33,2,32,0,6
8,raid5,256,normal,write-back,cached,.125,16,3072,1,cfq,2048,4,8,journal_data_writeback,barrier,strictatime,nodiratime,64bit,no_dir_index,dir_nlink,extent,extra_isize,no_ext_attr,no_filetype,flex_bg,64,no_huge_file,no_sparse_super2,mmp,no_resize_inode,no_sparse_super,uninit_bg,256,65536,0,packed_meta_blocks,acl,oldalloc,user_xattr,20,journal_checksum,delalloc,0,240000,5,noauto_da_alloc,discard,dioread_lock,noi_version,5,20,99,24,131072,28,nobh,3,10000,1000,300,1,3,1,64,16,7
8,raid1,64,ahead,write-back,cached,16,1024,16384,8,noop,2048,32,32,journal_data,no_barrier,noatime,diratime,no_64bit,dir_index,no_dir_nlink,no_extent,extra_isize,no_ext_attr,filetype,no_flex_bg,32,huge_file,sparse_super2,mmp,no_resize_inode,no_sparse_super,no_uninit_bg,2048,4194304,1,no_packed_meta_blocks,noacl,orlov,nouser_xattr,3,no_journal_checksum,delalloc,60000,3800,7,noauto_da_alloc,discard,dioread_lock,i_version,20,20,99,32768,2048,16,nobh,33,1000,2000,500,0,1,0,128,64,5
8,raid10,1024,normal,write-thru,direct,64,256,3072,7,deadline,4096,16,128,journal_data_ordered,no_barrier,relatime,nodiratime,no_64bit,no_dir_index,no_dir_nlink,no_extent,no_extra_isize,ext_attr,no_filetype,flex_bg,32,no_huge_file,no_sparse_super2,no_mmp,no_resize_inode,no_sparse_super,no_uninit_bg,4096,262144,2,packed_meta_blocks,noacl,unspecified,nouser_xattr,40,journal_async_commit,nodelalloc,30000,0,4,auto_da_alloc,nodiscard,dioread_nolock,noi_version,2,15,90,65536,32768,2,bh,33,100,1000,900,0,10,2,32,128,4
5,raid0,128,ahead,write-thru,cached,0,128,1024,3,cfq,2048,1024,1024,journal_data_writeback,barrier,noatime,nodiratime,no_64bit,dir_index,no_dir_nlink,no_extent,extra_isize,no_ext_attr,no_filetype,no_flex_bg,4,huge_file,sparse_super2,mmp,resize_inode,sparse_super,uninit_bg,2048,4194304,1,no_packed_meta_blocks,acl,oldalloc,nouser_xattr,40,journal_checksum,nodelalloc,15000,1900,2,noauto_da_alloc,discard,dioread_lock,i_version,1,2,50,131072,8,4,nobh,333,100000,30000,900,1,10,1,128,8,0
3,raid0,1024,normal,write-thru,cached,.5,512,8192,5,noop,1024,1,512,journal_data_ordered,barrier,strictatime,diratime,64bit,dir_index,dir_nlink,extent,no_extra_isize,ext_attr,no_filetype,flex_bg,128,no_huge_file,no_sparse_super2,no_mmp,no_resize_inode,no_sparse_super,no_uninit_bg,256,16384,0,packed_meta_blocks,acl,oldalloc,nouser_xattr,5,no_journal_checksum,delalloc,3800,30000,0,auto_da_alloc,nodiscard,dioread_lock,noi_version,15,5,0,128,8192,8,bh,333,100,0,100,0,100,1,64,128,2
1,raid0,64,normal,write-thru,direct,128,8,3072,1,noop,1024,64,128,journal_data,no_barrier,noatime,diratime,no_64bit,dir_index,no_dir_nlink,no_extent,extra_isize,no_ext_attr,filetype,no_flex_bg,256,huge_file,sparse_super2,no_mmp,resize_inode,sparse_super,no_uninit_bg,512,16384,1,no_packed_meta_blocks,acl,unspecified,nouser_xattr,80,no_journal_checksum,nodelalloc,240000,120000,5,noauto_da_alloc,nodiscard,dioread_lock,i_version,3,1,1,2048,512,20,bh,1000,10000,250,0,1,1000,2,128,32,1
2,raid0,1024,ahead,write-back,direct,32,32,8192,1,deadline,4096,2,16,journal_data_ordered,barrier,relatime,diratime,no_64bit,dir_index,dir_nlink,no_extent,no_extra_isize,ext_attr,filetype,flex_bg,16,no_huge_file,no_sparse_super2,mmp,no_resize_inode,no_sparse_super,uninit_bg,128,262144,2,packed_meta_blocks,noacl,unspecified,user_xattr,1,journal_async_commit,delalloc,120000,7500,5,auto_da_alloc,nodiscard,dioread_nolock,noi_version,30,4,95,8192,0,12,nobh,100,100000,100000,300,0,1,2,32,0,5
6,raid0,128,ahead,write-back,direct,4,2048,2048,7,noop,1024,4,8,journal_data,no_barrier,noatime,nodiratime,no_64bit,dir_index,dir_nlink,no_extent,extra_isize,ext_attr,filetype,no_flex_bg,16,huge_file,sparse_super2,mmp,resize_inode,sparse_super,uninit_bg,512,16777216,1,no_packed_meta_blocks,noacl,unspecified,user_xattr,1,no_journal_checksum,delalloc,1000,60000,4,auto_da_alloc,discard,dioread_lock,i_version,10,30,30,0,65536,1,nobh,3,3000,500,500,1,333,2,128,16,0
6,raid50,512,ahead,write-back,cached,8,1024,4096,2,cfq,2048,2,16,journal_data_writeback,no_barrier,strictatime,nodiratime,64bit,dir_index,dir_nlink,extent,extra_isize,no_ext_attr,filetype,no_flex_bg,256,no_huge_file,no_sparse_super2,mmp,resize_inode,sparse_super,uninit_bg,256,16777216,0,no_packed_meta_blocks,acl,oldalloc,user_xattr,2,journal_checksum,delalloc,7500,0,1,noauto_da_alloc,discard,dioread_lock,i_version,4,3,80,65536,24,24,bh,1,300,2000,1000,0,10,1,64,32,7
